game_id,player_id,play_type_id,result_id,event_x,event_y,defender_id,defense_type_id,shot_zone_id, shot_quality_id, creator_id, creator_play_type_id, points, fta, stl_blk, team_id
6,339,1,1,23,-3,475,1,1,5,,,2,,,'8'
6,475,10,1,15,101,239,1,3,5,441,10,2,,,'12'
6,339,1,1,-169,-11,65,1,5,2,,,2,,,'8'
6,198,10,1,15,5,339,1,1,5,345,5,2,,,'12'
6,166,10,4,7,5,65,1,1,,339,10,2,1,,'8'
6,345,1,2,23,101,166,1,3,3,,,0,,,'12'
6,339,1,2,151,5,475,1,4,3,,,0,,,'8'
6,65,6,1,-41,13,,,1,5,,,2,,,'12'
6,339,1,6,-9,213,,,7,,,,,,,'8'
6,345,3,5,-1,205,339,2,7,,,,0,,1,'12'
6,377,8,1,-169,181,,,11,5,339,6,3,,,'8'
6,198,9,1,23,-3,239,1,1,5,,,2,,,'12'
6,377,7,2,191,165,345,1,13,3,,,0,,,'8'
6,475,8,2,87,229,,,12,5,65,6,0,,,'12'
6,239,6,1,-1,5,,,1,5,166,6,2,,,'8'
6,65,7,2,39,133,377,1,3,5,345,7,0,,,'12'
6,166,5,3,-41,13,441,1,1,,,,2,2,,'8'
6,441,7,1,159,101,377,1,8,5,65,1,2,,,'12'
6,239,5,6,15,133,441,2,3,,,,,,1,'8'
6,441,6,2,-17,5,239,1,1,1,198,6,0,,,'12'
6,65,11,1,-9,5,,,1,2,,,2,,,'12'
6,339,6,3,15,5,198,1,1,,166,6,1,2,,'8'
6,65,5,2,-57,5,339,1,1,4,,,0,,,'12'
6,339,7,2,23,245,65,1,12,4,,,0,,,'8'
6,475,2,2,-25,-3,339,2,1,3,65,1,0,,,'12'
6,441,11,1,7,5,,,1,5,,,2,,,'12'
6,166,10,1,7,5,,,1,4,239,9,2,,,'8'
6,345,1,2,55,109,81,1,3,2,,,0,,,'12'
6,166,2,1,-9,5,,,1,5,239,1,2,,,'8'
6,65,1,2,-25,-3,377,1,1,1,,,0,,,'12'
6,441,6,4,-17,-3,,,1,,65,6,2,1,,'12'
6,81,3,5,239,125,,,13,,,,0,,,'8'
6,305,1,2,-33,-11,81,1,1,3,,,0,,,'12'
6,166,5,1,15,5,65,1,1,3,,,2,,,'8'
6,299,6,2,-17,-3,239,1,1,2,305,6,0,,,'12'
6,65,11,4,-9,37,239,1,1,,,,2,1,,'12'
6,239,2,1,23,53,223,1,1,3,224,1,2,,,'8'
6,299,10,5,159,77,,,9,,,,0,,,'12'
6,239,5,1,23,5,223,1,1,2,,,2,,,'8'
6,469,3,1,-161,189,81,1,11,4,,,3,,,'12'
6,224,10,1,-17,-3,305,1,1,4,239,5,2,,,'8'
6,223,10,1,15,5,239,1,1,3,469,10,2,,,'12'
6,239,5,2,-33,173,223,1,7,2,,,0,,,'8'
6,299,7,5,-81,61,224,2,2,,,,0,,,'12'
6,339,1,6,-49,157,353,2,7,,,,,,1,'8'
6,305,1,1,7,69,58,1,1,3,,,2,,,'12'
6,58,5,2,15,-3,223,2,1,3,,,0,,,'8'
6,299,8,2,-145,197,224,1,11,3,305,6,0,,,'12'
6,499,5,2,15,93,469,1,3,2,,,0,,,'8'
6,469,8,1,231,5,224,1,14,4,,,3,,,'12'
6,224,2,3,47,5,299,1,1,,339,1,2,2,,'8'
6,223,8,2,-129,77,246,1,2,3,305,1,0,,,'12'
6,305,1,1,135,37,499,1,4,1,,,2,,,'12'
6,224,3,6,-57,173,223,2,7,,,,,,1,'8'
6,305,5,2,-25,-3,339,1,1,2,,,0,,,'12'
6,339,5,1,111,125,223,1,8,2,,,2,,,'8'
6,198,3,2,127,213,58,1,13,3,,,0,,,'12'
6,58,3,3,-17,53,353,1,1,,499,4,0,2,,'8'
